nohup: ignoring input
--faucet-sol argument ignored, ledger already exists
Ledger location: test-ledger
Log: test-ledger/validator.log
Initializing...
Waiting for fees to stabilize 1...
Connecting...
Identity: A8dbc5Q2ygioFjaqQxhoZWUZvtrexucLJFj2sHcdFHkC
Genesis Hash: DdWgBiQBSEyMwRw8bwoCYHFuYVmLSJxCfMRfefoSeSrc
Version: 1.18.20
Shred Version: 35959
Gossip Address: 127.0.0.1:1024
TPU Address: 127.0.0.1:1027
JSON RPC URL: http://127.0.0.1:8899
WebSocket PubSub URL: ws://127.0.0.1:8900
00:00:14 | Processed Slot: 2448 | Confirmed Slot: 2448 | Finalized Slot: 2415 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2673 | ◎499.988380000
00:00:14 | Processed Slot: 2449 | Confirmed Slot: 2449 | Finalized Slot: 2416 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2674 | ◎499.988375000
00:00:14 | Processed Slot: 2450 | Confirmed Slot: 2450 | Finalized Slot: 2417 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2675 | ◎499.988370000
00:00:14 | Processed Slot: 2450 | Confirmed Slot: 2450 | Finalized Slot: 2417 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2675 | ◎499.988370000
00:00:15 | Processed Slot: 2451 | Confirmed Slot: 2451 | Finalized Slot: 2418 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2676 | ◎499.988365000
00:00:15 | Processed Slot: 2451 | Confirmed Slot: 2451 | Finalized Slot: 2418 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2676 | ◎499.988365000
00:00:15 | Processed Slot: 2452 | Confirmed Slot: 2452 | Finalized Slot: 2419 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2677 | ◎499.988360000
00:00:15 | Processed Slot: 2453 | Confirmed Slot: 2453 | Finalized Slot: 2420 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2678 | ◎499.988355000
00:00:16 | Processed Slot: 2453 | Confirmed Slot: 2453 | Finalized Slot: 2420 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2678 | ◎499.988355000
00:00:16 | Processed Slot: 2454 | Confirmed Slot: 2454 | Finalized Slot: 2422 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2679 | ◎499.988350000
